station_code,quality,position_name,pm2_5_24h,pm2_5,aqi,time_point,primary_pollutant,area
1004A,优,天坛,30,24,44,2017-07-29T14:00:00Z,,北京
1005A,优,农展馆,38,28,46,2017-07-29T14:00:00Z,,北京
1001A,优,万寿西宫,33,32,47,2017-07-29T14:00:00Z,,北京
1012A,优,古城,27,35,50,2017-07-29T14:00:00Z,,北京
1007A,良,海淀区万柳,28,38,54,2017-07-29T14:00:00Z,细颗粒物(PM2.5),北京
1003A,良,东四,36,40,57,2017-07-29T14:00:00Z,细颗粒物(PM2.5),北京
1006A,良,官园,32,41,58,2017-07-29T14:00:00Z,细颗粒物(PM2.5),北京
,良,,29,40,58,2017-07-29T14:00:00Z,"颗粒物(PM2.5),颗粒物(PM10)",北京
1011A,良,奥体中心,32,43,60,2017-07-29T14:00:00Z,细颗粒物(PM2.5),北京
1002A,良,定陵,20,37,63,2017-07-29T14:00:00Z,颗粒物(PM10),北京
1010A,良,昌平镇,20,46,77,2017-07-29T14:00:00Z,颗粒物(PM10),北京
1009A,良,怀柔镇,21,48,80,2017-07-29T14:00:00Z,臭氧1小时,北京
1008A,轻度污染,顺义新城,38,76,102,2017-07-29T14:00:00Z,细颗粒物(PM2.5),北京
