city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
昆明,27,13,26,0.57,19,76,47,10
广州,26,16,25,0.56,31,29,18,5
本溪,26,9,25,1.12,28,51,45,12
安顺,26,9,12,0.48,5,73,50,4
抚顺,26,10,22,0.52,16,70,51,10
鹰潭,26,6,9,0.4,4,62,51,7
辽阳,26,6,10,0.37,10,78,51,9
哈密地区,26,7,10,0.45,14,67,50,7
江门,26,17,25,0.68,18,56,28,5
双鸭山,26,10,17,0.47,4,58,50,2
宁德,26,10,22,0.43,8,49,51,4
大庆,25,9,24,0.54,11,58,40,6
三明,25,8,22,0.98,11,69,48,12
黄山,25,9,24,0.6,9,53,44,19
六盘水,25,16,24,0.6,15,71,47,10
日喀则,25,6,13,0.3,2,72,48,2
铁岭,25,12,19,0.45,13,75,48,4
衡阳,24,8,23,0.68,6,71,42,11
保山,24,7,23,0.45,5,59,42,5
湛江,24,6,7,0.38,13,35,46,4
吐鲁番地区,24,13,23,0.65,10,33,21,5
贵阳,24,8,15,0.42,6,70,46,3
惠州,24,10,20,0.48,6,74,39,6
呼伦贝尔,24,10,0,0.25,8,70,47,2
湘潭,24,11,18,0.54,11,70,46,8
楚雄州,24,11,21,0.65,10,74,42,14
鸡西,24,8,23,0.38,10,36,31,4
汕尾,23,15,18,0.47,3,60,44,6
梅州,23,11,22,0.53,5,58,38,5
渭南,23,10,16,0.5,21,66,45,4
永州,23,6,13,0.3,5,56,44,5
大兴安岭地区,23,16,17,0.35,11,63,45,4
山南,23,2,20,0.4,0,70,45,0
桂林,23,13,22,0.57,7,67,37,7
阳江,23,12,18,0.4,5,59,45,6
齐齐哈尔,22,10,21,0.44,10,53,29,5
茂名,22,7,19,0.35,4,54,43,5
辽源,22,11,18,0.95,22,42,43,11
玉林,22,14,19,0.63,7,38,43,11
珠海,22,8,13,0.45,7,53,43,2
那曲地区,22,12,18,0.53,5,55,43,3
深圳,22,13,21,0.48,18,53,39,6
来宾,21,13,20,0.6,6,66,40,10
三亚,21,11,20,0.5,5,47,36,4
贺州,21,2,16,0.55,4,57,40,5
龙岩,21,6,20,0.43,6,54,41,5
河源,21,8,13,0.6,6,66,38,5
南宁,20,14,17,0.68,12,58,37,5
萍乡,20,3,16,0.44,2,50,38,3
林芝,20,4,6,0.4,4,42,39,3
黔南州,20,2,8,0.5,5,54,38,4
玉溪,20,11,0,0.83,18,56,39,6
百色,19,13,12,0.75,10,47,36,7
黔西南州,19,7,14,0.75,10,40,37,12
佛山,19,13,17,0.57,25,32,18,5
东莞,19,12,15,0.46,21,58,36,5
林芝地区,18,4,16,0.35,6,51,35,3
云浮,18,8,12,0.57,5,42,35,6
临沧,18,12,14,0.8,10,42,34,9
北海,18,2,3,0.65,9,38,34,7
红河州,18,6,14,0.63,6,53,34,13
黔东南州,17,8,13,0.6,13,49,32,4
湘西州,17,7,15,0.93,8,44,32,2
西双版纳州,16,7,15,0.45,6,36,24,5
防城港,16,7,0,0.67,9,30,31,6
钦州,16,5,3,0.57,12,33,31,9
白山,16,6,15,0.7,10,43,31,6
普洱,14,4,8,0.4,12,31,26,6
崇左,14,5,13,0.5,4,36,27,5
河池,13,9,11,0.6,9,33,24,4
常熟,0,0,0,0.0,0,0,0,0
章丘,0,0,0,0.0,0,0,0,0
诸暨,0,0,0,0.0,0,0,0,0
乳山,0,0,0,0.0,0,0,0,0
招远,0,0,0,0.0,0,0,0,0
荣成,0,0,0,0.0,0,0,0,0
瓦房店,0,0,0,0.0,0,0,0,0
张家港,0,0,0,0.0,0,0,0,0
胶州,0,0,0,0.0,0,0,0,0
文登,0,0,0,0.0,0,0,0,0
临安,0,0,0,0.0,0,0,0,0
莱州,0,0,0,0.0,0,0,0,0
莱西,0,0,0,0.0,0,0,0,0
吴江,0,0,0,0.0,0,0,0,0
昆山,0,0,0,0.0,0,0,0,0
句容,0,0,0,0.0,0,0,0,0
金坛,0,0,0,0.0,0,0,0,0
即墨,0,0,0,0.0,0,0,0,0
胶南,0,0,0,0.0,0,0,0,0
寿光,0,0,0,0.0,0,0,0,0
江阴,0,0,0,0.0,0,0,0,0
溧阳,0,0,0,0.0,0,0,0,0
太仓,0,0,0,0.0,0,0,0,0
蓬莱,0,0,0,0.0,0,0,0,0
平度,0,0,0,0.0,0,0,0,0
伊犁哈萨克,0,0,0,0.0,0,0,0,0
义乌,0,0,0,0.0,0,0,0,0
宜兴,0,0,0,0.0,0,0,0,0
大兴安岭地,0,0,0,0.0,0,0,0,0
富阳,0,0,0,0.0,0,0,0,0
